date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:17:21	8562/8562	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Dec%202021%2014:17:20%20GMT	https://portopower.webflow.io/photos/play	G:/HTTRack/Webflow%20Test/Webflow%20Test/photos/play.html	(from https://portopower.webflow.io/)
22:17:21	20442/20442	---M--	200	added ('OK')	image/jpeg	etag:%22b91d597750cad1e39343a9fbf0765ec1%22	https://uploads-ssl.webflow.com/61b0545303933b49307a5a2b/61b0545303933b5c627a5acf_photo-1433245437947-a0595ee87118-square700.jpg	G:/HTTRack/Webflow%20Test/Webflow%20Test/61b0545303933b49307a5a2b/61b0545303933b5c627a5acf_photo-1433245437947-a0595ee87118-square700.jpg	(from https://portopower.webflow.io/)
22:17:21	8413/8413	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Dec%202021%2014:17:21%20GMT	https://portopower.webflow.io/photos/lift	G:/HTTRack/Webflow%20Test/Webflow%20Test/photos/lift.html	(from https://portopower.webflow.io/)
22:17:21	84444/84444	---M--	200	added ('OK')	image/jpeg	etag:%2201dfe07ec4862fb4d50df3864cfb4532%22	https://uploads-ssl.webflow.com/61b0545303933b49307a5a2b/61b0545303933ba1dd7a5ace_photo-1436397543931-01c4a5162bdb-square700.jpg	G:/HTTRack/Webflow%20Test/Webflow%20Test/61b0545303933b49307a5a2b/61b0545303933ba1dd7a5ace_photo-1436397543931-01c4a5162bdb-square700.jpg	(from https://portopower.webflow.io/)
22:17:21	8597/8597	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Dec%202021%2014:17:21%20GMT	https://portopower.webflow.io/photos/dog	G:/HTTRack/Webflow%20Test/Webflow%20Test/photos/dog.html	(from https://portopower.webflow.io/)
22:17:22	96808/96808	---M--	200	added ('OK')	image/jpeg	etag:%223a693a04971d98d202ba245b8350f990%22	https://uploads-ssl.webflow.com/61b0545303933b49307a5a2b/61b0545303933b55427a5ae9_photo-1441906363162-903afd0d3d52-square700.jpg	G:/HTTRack/Webflow%20Test/Webflow%20Test/61b0545303933b49307a5a2b/61b0545303933b55427a5ae9_photo-1441906363162-903afd0d3d52-square700.jpg	(from https://portopower.webflow.io/)
22:17:22	89476/89476	---MCZ	200	added ('OK')	application/javascript	etag:W/%22dc5e7f18c8d36ac1d3d4753a87c98d0a%22	https://d3e54v103j8qbb.cloudfront.net/js/jquery-3.5.1.min.dc5e7f18c8.js?site=61b0545303933b64a77a5a1d	G:/HTTRack/Webflow%20Test/Webflow%20Test/js/jquery-3.5.1.min.dc5e7f18c8f52b.js	(from https://portopower.webflow.io/)
22:17:23	101998/101998	---M-Z	200	added ('OK')	text/javascript	etag:%22564ed3d2601d3f1d7cd4afe3b7ed1b9f%22	https://uploads-ssl.webflow.com/61b0545303933b64a77a5a1d/js/webflow.d8cbe0b2d.js	G:/HTTRack/Webflow%20Test/Webflow%20Test/61b0545303933b64a77a5a1d/js/webflow.d8cbe0b2d.js	(from https://portopower.webflow.io/)
22:17:23	6071/6071	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Dec%202021%2014:17:22%20GMT	https://portopower.webflow.io/blog-posts/london	G:/HTTRack/Webflow%20Test/Webflow%20Test/blog-posts/london.html	(from https://portopower.webflow.io/blog)
22:17:23	5793/5793	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Dec%202021%2014:17:22%20GMT	https://portopower.webflow.io/blog-posts/traveler	G:/HTTRack/Webflow%20Test/Webflow%20Test/blog-posts/traveler.html	(from https://portopower.webflow.io/blog)
22:17:23	5765/5765	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Dec%202021%2014:17:23%20GMT	https://portopower.webflow.io/blog-posts/hipster	G:/HTTRack/Webflow%20Test/Webflow%20Test/blog-posts/hipster.html	(from https://portopower.webflow.io/blog)
22:17:23	6610/6610	---M-Z	200	added ('OK')	text/html	date:Wed,%2008%20Dec%202021%2014:17:23%20GMT	https://portopower.webflow.io/blog-posts/modern-workplace	G:/HTTRack/Webflow%20Test/Webflow%20Test/blog-posts/modern-workplace.html	(from https://portopower.webflow.io/blog)
22:17:24	48813/48813	---M--	200	added ('OK')	image/jpeg	etag:%22b8ceb3b4ddc0343a352ec269bc9bc11d%22	https://uploads-ssl.webflow.com/61b0545303933b64a77a5a1d/61b0545303933b51307a5ac1_photo-1421809313281-48f03fa45e9f.jpg	G:/HTTRack/Webflow%20Test/Webflow%20Test/61b0545303933b64a77a5a1d/61b0545303933b51307a5ac1_photo-1421809313281-48f03fa45e9f.jpg	(from https://portopower.webflow.io/about)
22:17:25	95036/95036	---M--	200	added ('OK')	image/jpeg	etag:%2260a542090a21a6ee4a5adac9ceb02348%22	https://uploads-ssl.webflow.com/61b0545303933b49307a5a2b/61b0545303933b281c7a5acd_photo-1416934625760-d56f5e79f6fe.jpg	G:/HTTRack/Webflow%20Test/Webflow%20Test/61b0545303933b49307a5a2b/61b0545303933b281c7a5acd_photo-1416934625760-d56f5e79f6fe.jpg	(from https://portopower.webflow.io/photos/city)
